VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
ACQUIGNY;27;27003;ACQUIGNY;;;Sources DSCA3/6 fabriquées par Amersham - 241Am;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources fabriquées par NRD - 241 AM utilisée pour détecteurs System Sensor;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources SAC3 - 241 Am fabriquées par le CEA;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources SAC3 - 238 Pu fabriquées par le CEA;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;238Pu
ACQUIGNY;27;27003;ACQUIGNY;;;Sources SECI11 241 Am, utilisé pour les détecteurs SO12;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;
ACQUIGNY;27;27003;ACQUIGNY;;;Sources EI1100 241 Am, utilisé pour les détecteurs EI1100 (1 porte sources est équipé de 2 sources de 16.7 KBq);SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources détecteur SO10-UD09 (1 porte source est équipé de 2 sources de 16.7 kBq);SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources détecteurs siemens série F9;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources détecteurs Esser type EI3000;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources détecteurs Esser type 2000;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources détecteurs IRM3;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Source détecteurs Ariane;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources B2I;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources Apollo;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources G4-G5;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources détecteurs siemens serie F7;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
ACQUIGNY;27;27003;ACQUIGNY;;;Sources détecteurs FIP LP;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;241Am
AGEN;47;47001;MEDECINE NUCLEAIRE - SCINTIGRAPHIE - BIOPHYSIQUE;;;DGD - Déchets gérés en décroissance;VTC;DGD;14;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;67Ga,111In,123I,131I,201Tl,99mTc
AJACCIO;2A;2A004;Service de scintigraphie;;;DGD - Déchets gérés en décroissance;VTC;DGD;3;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;99mTc
ALBI;81;81004;SERVICE RADIOTHERAPIE - CURIETHERAPIE;;;TFA-07 (1,8 m3);TFA;TFA-07;1,8;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;
ALBI;81;81004;SERVICE RADIOTHERAPIE - CURIETHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,001;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;125I
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube F 3003;Tube F 3003;Tube F 3003;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube F 3004A;Tube F 3004A;Tube F 3004A;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube 6334 THOMSON;Tube 6334 THOMSON;Tube 6334 THOMSON;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
